City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Provideniya,RU,64.3833,-173.3,33.91,64,100,31.32,overcast clouds
146,San Borja,BO,-14.8167,-66.85,75.4,83,98,2.71,overcast clouds
147,Atambua,ID,-9.1061,124.8925,86.29,58,95,3.4,overcast clouds
148,Vilyuysk,RU,63.7553,121.6247,-21.55,97,70,5.5,broken clouds
149,Igarka,RU,67.4667,86.5833,-19.82,99,58,8.37,broken clouds
150,Tasiilaq,GL,65.6145,-37.6368,33.96,61,100,6.96,overcast clouds
151,Jamestown,US,42.097,-79.2353,33.39,72,100,4.0,overcast clouds
152,Port Lincoln,AU,-34.7333,135.8667,57.83,61,73,10.47,broken clouds
153,Hovd,MN,48.0056,91.6419,32.4,46,15,11.59,few clouds
154,Lasa,IT,46.6166,10.7002,45.48,99,100,3.15,overcast clouds
155,Tiksi,RU,71.6872,128.8694,-19.68,98,97,7.72,overcast clouds
156,Hobart,AU,-42.8794,147.3294,53.46,66,75,18.41,broken clouds
157,Westport,US,41.1415,-73.3579,44.56,75,100,11.5,moderate rain
158,Aquiraz,BR,-3.9014,-38.3911,80.69,76,2,10.71,clear sky
159,Rocha,UY,-34.4833,-54.3333,55.29,69,0,5.46,clear sky
160,Kaeo,NZ,-35.1,173.7833,68.0,85,80,5.01,broken clouds
161,Xichang,CN,27.8964,102.2634,54.93,59,0,1.83,clear sky
162,Rapid City,US,44.0805,-103.231,24.1,84,100,4.61,overcast clouds
163,Samarai,PG,-10.6167,150.6667,86.63,69,65,15.21,broken clouds
164,Vostok,RU,46.4856,135.8833,23.34,63,92,4.25,overcast clouds
165,Aguimes,ES,27.9054,-15.4461,69.66,43,0,6.91,clear sky
166,Chake Chake,TZ,-5.2459,39.7666,75.78,87,2,5.88,clear sky
167,Labuhan,ID,-6.8844,112.2051,82.08,75,100,11.45,heavy intensity rain
168,Xuanzhou,CN,30.9525,118.7553,60.21,57,14,9.84,few clouds
169,Ondjiva,AO,-17.0667,15.7333,78.94,32,99,3.83,overcast clouds
170,Kavieng,PG,-2.5744,150.7967,85.03,62,100,8.21,overcast clouds
171,Fukue,JP,32.6881,128.8419,62.96,48,20,6.91,few clouds
172,Carauari,BR,-4.8828,-66.8958,74.62,93,100,3.38,light rain
173,Husavik,IS,66.0449,-17.3389,43.29,92,100,8.25,overcast clouds
174,Dandong,CN,40.1292,124.3947,43.39,48,0,4.34,clear sky
175,Fort Walton Beach,US,30.4058,-86.6188,59.22,84,100,23.0,overcast clouds
176,Sitka,US,57.0531,-135.33,46.29,87,40,3.44,scattered clouds
177,Australind,AU,-33.2667,115.7167,77.72,30,100,11.79,overcast clouds
178,Kloulklubed,PW,7.0419,134.2556,83.28,76,96,17.11,overcast clouds
179,Mount Gambier,AU,-37.8333,140.7667,57.78,46,66,10.13,broken clouds
